distance,elevation,terrain,dangerous,risk
1,0,paved,0,1
1,0,sandy,0,1
1,0,sandy,0,1
1,0,sandy,0,1
1,0,sandy,0,1
1,0,sandy,0,1
1,0,sandy,0,1
1,300,paved,0,2
1,300,paved,0,2
1,300,paved,0,2
1,300,sandy,0,2
2,0,paved,0,2
2,0,paved,0,2
2,0,paved,0,2
2,0,paved,0,2
2,0,sandy,0,2
2,0,sandy,0,2
2,0,sandy,0,2
2,0,sandy,0,2
2,300,paved,0,3
2,300,paved,0,3
3,0,paved,0,3
3,0,paved,0,3
3,0,paved,0,3
3,0,paved,0,3
3,0,sandy,0,3
3,0,sandy,0,3
3,0,sandy,0,3
3,0,sandy,0,3
3,300,paved,0,4
3,300,paved,0,4
3,300,sandy,0,4
3,300,sandy,0,4
3,300,sandy,0,4
3,300,sandy,0,4
3,300,sandy,0,4
4,0,paved,0,4
4,0,paved,0,4
4,0,paved,0,4
4,0,paved,0,4
4,0,paved,0,4
4,0,paved,0,4
4,0,paved,0,4
4,0,sandy,0,4
4,0,sandy,0,4
4,0,sandy,0,4
4,0,sandy,0,4
4,0,sandy,0,4
4,0,sandy,0,4
5,0,paved,0,5
5,0,paved,0,5
5,0,sandy,0,5
5,0,sandy,0,5
5,0,sandy,0,5
5,0,sandy,0,5
5,300,paved,0,6
5,300,paved,0,6
5,300,paved,0,6
5,300,paved,0,6
5,300,sandy,0,6
5,300,sandy,0,6
6,0,paved,0,6
6,0,paved,0,6
6,0,paved,0,6
6,0,paved,0,6
6,0,paved,0,6
6,0,paved,0,6
6,0,sandy,0,6
6,0,sandy,0,6
6,0,sandy,0,6
6,0,sandy,0,6
6,0,sandy,0,6
6,300,paved,0,7
6,300,sandy,0,7
6,300,sandy,0,7
6,300,sandy,0,7
7,0,paved,0,7
7,0,paved,0,7
7,0,paved,0,7
7,0,sandy,0,7
7,0,sandy,0,7
7,0,sandy,0,7
7,0,sandy,0,7
7,300,paved,0,8
7,300,sandy,0,8
7,300,sandy,0,8
8,0,paved,0,8
8,0,paved,0,8
8,0,paved,0,8
8,0,paved,0,8
8,0,paved,0,8
8,0,sandy,0,8
8,0,sandy,0,8
8,0,sandy,0,8
8,0,sandy,0,8
8,0,sandy,0,8
8,0,sandy,0,8
8,300,sandy,0,9
9,0,paved,0,9
9,0,paved,0,9
9,0,paved,0,9
9,0,paved,0,9
9,0,sandy,0,9
9,0,sandy,0,9
9,0,sandy,0,9
9,0,sandy,0,9
9,0,sandy,0,9
9,300,paved,0,10
9,300,paved,0,10
9,300,paved,0,10
9,300,sandy,0,10
9,300,sandy,0,10
10,0,paved,0,10
10,0,paved,0,10
10,0,paved,0,10
10,0,paved,0,10
10,0,paved,0,10
10,0,sandy,0,10
10,0,sandy,0,10
10,0,sandy,0,10
10,0,sandy,0,10
10,0,sandy,0,10
10,0,sandy,0,10
10,0,sandy,0,10
10,0,sandy,0,10
1,0,dirt,0,11
1,0,dirt,0,11
1,0,dirt,0,11
10,300,paved,0,11
10,300,paved,0,11
10,300,sandy,0,11
1,300,dirt,0,12
1,300,dirt,0,12
2,0,dirt,0,12
2,0,dirt,0,12
2,300,dirt,0,13
3,0,dirt,0,13
3,0,dirt,0,13
3,300,dirt,0,14
3,300,dirt,0,14
3,300,dirt,0,14
4,0,dirt,0,14
4,0,dirt,0,14
4,0,dirt,0,14
4,0,dirt,0,14
4,0,dirt,0,14
4,0,dirt,0,14
4,0,dirt,0,14
4,0,dirt,0,14
4,300,dirt,0,15
5,0,dirt,0,15
5,0,dirt,0,15
5,0,dirt,0,15
5,0,dirt,0,15
11,900,sandy,0,15
5,300,dirt,0,16
5,300,dirt,0,16
5,300,dirt,0,16
6,0,dirt,0,16
6,0,dirt,0,16
6,0,dirt,0,16
6,0,dirt,0,16
6,0,dirt,0,16
6,0,dirt,0,16
15,300,sandy,0,16
15,300,sandy,0,16
6,300,dirt,0,17
6,300,dirt,0,17
7,0,dirt,0,17
7,0,dirt,0,17
7,0,dirt,0,17
11,1200,paved,0,17
11,1200,sandy,0,17
7,300,dirt,0,18
7,300,dirt,0,18
7,300,dirt,0,18
8,0,dirt,0,18
8,0,dirt,0,18
8,0,dirt,0,18
8,0,dirt,0,18
8,0,dirt,0,18
8,0,dirt,0,18
8,0,dirt,0,18
8,0,dirt,0,18
11,1500,sandy,0,18
12,1200,sandy,0,18
17,300,paved,0,18
8,300,dirt,0,19
9,0,dirt,0,19
9,0,dirt,0,19
9,0,dirt,0,19
9,0,dirt,0,19
9,0,dirt,0,19
9,0,dirt,0,19
9,0,dirt,0,19
9,0,dirt,0,19
9,0,dirt,0,19
16,600,paved,0,19
16,600,sandy,0,19
9,300,dirt,0,20
10,0,dirt,0,20
10,0,dirt,0,20
10,0,dirt,0,20
10,0,dirt,0,20
10,0,dirt,0,20
11,1800,sandy,0,20
20,0,paved,0,20
10,300,dirt,0,21
10,300,dirt,0,21
17,900,sandy,0,21
12,2100,sandy,0,22
13,1800,paved,0,22
16,1200,paved,0,22
19,600,sandy,0,22
21,300,paved,0,22
20,600,sandy,0,23
